time,y_true,y_pred
2022-01,104.9,104.85633
2022-02,103.5,103.530464
2022-03,103.7,103.69917
2022-04,104.3,104.265366
2022-05,103.1,103.10382
2022-06,96.8,96.78912
2022-07,86.2,86.210335
2022-08,89.0,89.004616
2022-09,91.6,91.5803
2022-10,89.0,88.99489
2022-11,86.6,86.60816
2022-12,90.1,90.098656
2023-01,90.7,90.71891
2023-02,90.2,90.19362
2023-03,92.0,92.00463
2023-04,95.2,95.201256
2023-05,98.1,98.09904
2023-06,100.8,100.79624
2023-07,103.4,95.46527
2023-08,103.3,96.82359
2023-09,99.8,93.602844
2023-10,98.2,94.50647
2023-11,97.3,94.53663
2023-12,99.7,89.67387
2024-01,101.6,97.536156
2024-02,101.9,96.28935
2024-03,100.7,100.27901
2024-04,100.7,101.02991
2024-05,98.4,93.380394
2024-06,100.9,97.365135
2024-07,103.6,95.67504
2024-08,100.8,94.26458
2024-09,100.0,96.90836
2024-10,101.8,96.97938
2024-11,100.7,96.803825
2024-12,88.2,93.47276
2025-01,91.2,91.410614
2025-02,95.2,90.971855
2025-03,93.4,92.07062
2025-04,93.8,95.3429
2025-05,101.8,93.384766
2025-06,108.7,100.58378
